SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,MnO,P2O5,SO3,T,log n
0.7436,0.1286,0.014,0.0094,0.0099,0.0563,0.0294,0.0088,0,0,0,1431,3.293
0.7436,0.1286,0.014,0.0094,0.0099,0.0563,0.0294,0.0088,0,0,0,1390,3.536
0.6484,0.1139,0.0198,0.0888,0.0694,0.0363,0.0102,0.0133,0,0,0,1961,2.82
0.6484,0.1139,0.0198,0.0888,0.0694,0.0363,0.0102,0.0133,0,0,0,1944,2.87
0.6484,0.1139,0.0198,0.0888,0.0694,0.0363,0.0102,0.0133,0,0,0,1904,3.142
0.6484,0.1139,0.0198,0.0888,0.0694,0.0363,0.0102,0.0133,0,0,0,1866,3.351
0.6484,0.1139,0.0198,0.0888,0.0694,0.0363,0.0102,0.0133,0,0,0,1844,3.395
0.6484,0.1139,0.0198,0.0888,0.0694,0.0363,0.0102,0.0133,0,0,0,1808,3.607
0.6484,0.1139,0.0198,0.0888,0.0694,0.0363,0.0102,0.0133,0,0,0,1761,3.897
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1973,1
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1773,2
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1613,3
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1468,4
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1343,5
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1253,6
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1198,7
0.7924,0.1041,0.0572,0.0036,0.0161,0.0104,0.0069,0.0043,0,0.0013,0.0035,1153,8
0.6153,0.2159,0.0557,0.0443,0.0236,0.0063,0.0155,0.0109,0,0.0005,0.012,1773,1
0.6153,0.2159,0.0557,0.0443,0.0236,0.0063,0.0155,0.0109,0,0.0005,0.012,1433,5
0.5587,0.2045,0.0534,0.0611,0.0108,0.0133,0.0038,0.0175,0,0.0051,0.0718,1713,1
0.5587,0.2045,0.0534,0.0611,0.0108,0.0133,0.0038,0.0175,0,0.0051,0.0718,1323,4
0.5587,0.2045,0.0534,0.0611,0.0108,0.0133,0.0038,0.0175,0,0.0051,0.0718,1243,5
0.5587,0.2045,0.0534,0.0611,0.0108,0.0133,0.0038,0.0175,0,0.0051,0.0718,1173,6
0.5587,0.2045,0.0534,0.0611,0.0108,0.0133,0.0038,0.0175,0,0.0051,0.0718,1133,7
0.5587,0.2045,0.0534,0.0611,0.0108,0.0133,0.0038,0.0175,0,0.0051,0.0718,1093,8
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1738,1
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1538,2
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1413,3
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1323,4
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1253,5
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1188,6
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1133,7
0.547,0.1646,0.0315,0.0859,0.0445,0.0523,0.0073,0.0168,0,0.003,0.0471,1083,8
0.5374,0.2342,0.0289,0.0749,0.0395,0.0539,0.0112,0.0161,0,0.0037,0.0002,1723,1
0.5374,0.2342,0.0289,0.0749,0.0395,0.0539,0.0112,0.0161,0,0.0037,0.0002,1363,4
0.5374,0.2342,0.0289,0.0749,0.0395,0.0539,0.0112,0.0161,0,0.0037,0.0002,1248,5
0.5374,0.2342,0.0289,0.0749,0.0395,0.0539,0.0112,0.0161,0,0.0037,0.0002,1163,6
0.5374,0.2342,0.0289,0.0749,0.0395,0.0539,0.0112,0.0161,0,0.0037,0.0002,1093,7
0.5374,0.2342,0.0289,0.0749,0.0395,0.0539,0.0112,0.0161,0,0.0037,0.0002,1048,8
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1658,1
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1518,2
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1413,3
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1323,4
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1253,5
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1188,6
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1128,7
0.536,0.1789,0.0436,0.1545,0.0431,0.0039,0.0041,0.0105,0,0.0051,0.0203,1073,8
0.4976,0.2405,0.0597,0.0439,0.0669,0.0339,0.0047,0.0181,0,0.0054,0.0293,1718,1
0.4976,0.2405,0.0597,0.0439,0.0669,0.0339,0.0047,0.0181,0,0.0054,0.0293,1568,2
0.4976,0.2405,0.0597,0.0439,0.0669,0.0339,0.0047,0.0181,0,0.0054,0.0293,1448,3
0.4976,0.2405,0.0597,0.0439,0.0669,0.0339,0.0047,0.0181,0,0.0054,0.0293,1353,4
0.4976,0.2405,0.0597,0.0439,0.0669,0.0339,0.0047,0.0181,0,0.0054,0.0293,1263,5
0.4976,0.2405,0.0597,0.0439,0.0669,0.0339,0.0047,0.0181,0,0.0054,0.0293,1203,6
0.4976,0.2405,0.0597,0.0439,0.0669,0.0339,0.0047,0.0181,0,0.0054,0.0293,1153,7
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1613,1
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1478,2
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1353,3
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1263,4
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1183,5
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1118,6
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1073,7
0.4288,0.1849,0.0508,0.0981,0.0335,0.0602,0.0019,0.018,0,0.0074,0.1163,1038,8
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1873,1
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1638,2
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1493,3
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1373,4
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1308,5
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1203,6
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1143,7
0.6203,0.1685,0.0299,0.0493,0.037,0.0336,0.0138,0.0153,0,0.0047,0.0276,1108,8
